generated_id,n_nodes,n_edges,6V-12,E <= 6V-12
20,15,71,78,True
22,15,75,78,True
23,12,60,60,True
24,15,74,78,True
28,14,69,72,True
29,13,64,66,True
32,13,63,66,True
49,15,71,78,True
50,15,76,78,True
52,15,72,78,True
63,15,71,78,True
83,12,58,60,True
85,15,70,78,True
90,14,73,72,False
92,15,72,78,True
104,13,68,66,False
105,14,69,72,True
110,15,65,78,True
113,14,70,72,True
115,14,72,72,True
119,13,64,66,True
132,14,63,72,True
143,14,66,72,True
154,14,70,72,True
155,14,75,72,False
174,14,67,72,True
175,15,75,78,True
186,13,64,66,True
188,14,62,72,True
195,15,76,78,True
201,13,65,66,True
211,15,73,78,True
212,15,73,78,True
216,14,76,72,False
226,14,72,72,True
235,13,69,66,False
244,14,65,72,True
258,12,55,60,True
260,14,75,72,False
261,14,72,72,True
263,14,73,72,False
267,13,64,66,True
274,15,72,78,True
285,13,63,66,True
288,15,71,78,True
