generated_id,n_nodes,n_edges,chromatic_number,edge_list,adjacency_upper_triangular
20,15,71,9,0-1;0-3;0-4;0-5;0-6;0-7;0-9;0-10;0-12;0-13;1-2;1-3;1-6;1-7;1-8;1-9;1-10;1-12;1-13;2-6;2-7;2-8;2-9;2-10;2-12;2-13;3-4;3-5;3-6;3-7;3-9;3-10;3-12;3-13;4-6;4-7;4-9;4-10;4-13;5-6;5-7;5-9;5-10;5-12;5-13;6-7;6-8;6-9;6-10;6-11;6-12;6-13;7-9;7-10;7-11;7-12;7-13;8-9;8-10;8-13;9-10;9-11;9-12;9-13;10-11;10-12;10-13;11-12;11-13;12-13;12-14,"1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0"
22,15,75,9,0-1;0-2;0-7;0-8;0-9;0-10;0-11;0-12;0-13;1-2;1-3;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;1-12;1-13;2-3;2-4;2-5;2-6;2-8;2-9;2-10;2-11;2-12;2-13;3-4;3-5;3-6;3-7;3-8;3-10;3-11;3-12;3-13;4-5;4-7;4-10;4-11;4-12;4-13;5-6;5-7;5-8;5-11;5-12;5-13;6-8;6-11;6-12;6-13;7-8;7-9;7-10;7-12;7-13;8-10;8-11;8-12;8-13;9-10;9-11;9-12;10-11;10-12;10-13;11-12;11-13;12-13;12-14,"1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0"
23,12,60,9,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-8;0-10;0-11;1-2;1-3;1-5;1-7;1-8;1-9;1-10;1-11;2-3;2-4;2-5;2-6;2-7;2-8;2-9;2-10;2-11;3-4;3-5;3-6;3-7;3-8;3-9;3-10;3-11;4-5;4-6;4-7;4-8;4-9;4-10;4-11;5-6;5-7;5-8;5-9;5-10;5-11;6-7;6-8;6-9;6-10;6-11;7-8;7-9;7-10;7-11;8-11;9-10;10-11,"1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
24,15,74,9,0-1;0-4;0-5;0-6;0-7;0-9;0-10;0-11;0-12;0-13;1-4;1-6;1-7;1-9;1-10;1-11;1-13;2-3;2-4;2-5;2-7;2-8;2-11;2-13;3-4;3-5;3-6;3-7;3-8;3-10;3-12;3-13;4-5;4-6;4-7;4-8;4-9;4-10;4-11;4-12;4-13;5-6;5-7;5-8;5-9;5-10;5-11;5-12;5-13;6-7;6-11;6-12;6-13;7-8;7-9;7-10;7-11;7-12;7-13;8-9;8-10;8-12;8-13;9-10;9-11;9-12;9-13;10-11;10-12;10-13;11-12;11-13;12-13;12-14,"1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0"
28,14,69,9,0-1;0-2;0-3;0-4;0-5;0-7;0-10;0-11;0-12;0-13;1-2;1-4;1-6;1-7;1-8;1-10;1-12;1-13;2-3;2-4;2-5;2-7;2-10;2-11;2-12;2-13;3-4;3-5;3-6;3-7;3-8;3-10;3-11;3-12;3-13;4-5;4-6;4-7;4-10;4-12;4-13;5-6;5-7;5-8;5-10;5-11;5-12;5-13;6-7;6-12;6-13;7-8;7-9;7-10;7-11;7-12;7-13;8-9;8-12;8-13;9-11;9-12;9-13;10-11;10-12;10-13;11-12;11-13;12-13,"1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0"
29,13,64,9,0-1;0-2;0-4;0-5;0-6;0-7;0-8;0-9;0-10;0-11;0-12;1-2;1-3;1-4;1-5;1-6;1-8;1-9;1-10;1-11;1-12;2-3;2-4;2-5;2-6;2-8;2-9;2-10;2-11;2-12;3-4;3-5;3-6;3-7;3-8;3-10;3-11;3-12;4-5;4-7;4-8;4-10;4-11;4-12;5-7;5-8;5-9;5-10;5-11;5-12;6-9;6-11;6-12;7-9;8-9;8-10;8-11;8-12;9-10;9-11;9-12;10-11;10-12;11-12,"1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0"
32,13,63,9,0-1;0-2;0-3;0-4;0-5;0-6;0-7;0-8;0-10;0-11;0-12;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;2-3;2-4;2-5;2-6;2-7;2-8;2-11;3-4;3-5;3-6;3-7;3-8;3-10;3-11;3-12;4-5;4-6;4-7;4-8;4-9;4-10;4-11;4-12;5-6;5-7;5-8;5-9;5-10;5-11;5-12;6-7;6-9;6-10;6-11;6-12;7-8;7-9;7-10;7-11;7-12;8-11;10-11;10-12;11-12,"1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0"
49,15,71,9,0-2;0-7;0-8;0-9;0-10;0-11;0-12;0-13;1-2;1-3;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;1-12;1-13;2-3;2-4;2-5;2-6;2-8;2-9;2-10;2-11;2-12;2-13;3-5;3-6;3-8;3-10;3-11;3-12;3-13;4-7;4-10;4-11;4-12;4-13;5-8;5-9;5-10;5-11;5-12;5-13;6-8;6-10;6-11;6-12;6-13;7-8;7-10;7-12;7-13;8-10;8-11;8-12;8-13;9-11;9-12;9-13;10-11;10-12;10-13;11-12;11-13;12-13;12-14,"0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0"
50,15,76,9,0-1;0-3;0-4;0-6;0-7;0-8;0-9;0-11;0-12;0-13;1-2;1-3;1-4;1-5;1-6;1-7;1-9;1-10;1-13;2-3;2-6;2-7;2-8;2-9;2-10;2-12;2-13;3-4;3-6;3-7;3-8;3-9;3-10;3-12;3-13;4-5;4-6;4-7;4-8;4-9;4-10;4-11;4-12;4-13;5-6;5-7;5-9;5-11;5-13;6-7;6-8;6-9;6-10;6-11;6-12;6-13;7-8;7-9;7-11;7-12;7-13;8-9;8-10;8-11;8-12;8-13;9-10;9-11;9-12;9-13;10-11;10-13;11-12;11-13;12-13;12-14,"1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0"
52,15,72,9,0-2;0-3;0-5;0-10;0-11;0-13;1-2;1-4;1-5;1-6;1-7;1-8;1-9;1-10;1-11;1-12;1-13;2-3;2-5;2-6;2-7;2-8;2-10;2-11;2-12;2-13;3-5;3-6;3-7;3-8;3-9;3-10;3-11;3-13;4-6;4-9;4-10;4-13;5-7;5-8;5-9;5-10;5-11;5-12;5-13;6-7;6-8;6-10;6-12;6-13;7-8;7-9;7-10;7-11;7-12;7-13;8-9;8-10;8-11;8-12;8-13;9-10;9-11;9-12;9-13;10-11;10-12;10-13;11-12;11-13;12-13;12-14,"0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0"
